cat /proc/mtd
dev:    size   erasesize  name
mtd0: 00080000 00020000 "zloader"
mtd1: 00100000 00020000 "uboot"
mtd2: 00080000 00020000 "cpurpm"
mtd3: 00100000 00020000 "uboot-mirr"
mtd4: 00100000 00020000 "nvfac"
mtd5: 00200000 00020000 "nvro"
mtd6: 00300000 00020000 "nvrw"
mtd7: 00100000 00020000 "fotaflag"
mtd8: 00680000 00020000 "cpuphy"
mtd9: 00080000 00020000 "sms"
mtd10: 00800000 00020000 "cpups"
mtd11: 00500000 00020000 "cpuap"
mtd12: 00400000 00020000 "cpfs"
mtd13: 00500000 00020000 "recovery"
mtd14: 00500000 00020000 "recovery-kernel"
mtd15: 00800000 00020000 "cdrom"
mtd16: 02600000 00020000 "userdata"
mtd17: 00200000 00020000 "yaffs"
mtd18: 02100000 00020000 "zterw"
/logfs #
